target_estimand,target_estimand_version,target_reference,target_denominator,condition,target,predictor,n_wins,mean_r2,mean_spearman,analysis_role,analysis_plan_version
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.02,gradient_detectable_rank,3,0.585467418083776,0.7464914936961197,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.02,gradient_effective_rank,1,0.790327496908954,0.8703879597714745,secondary_target,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.02,true_k_strong,1,0.5472509541588841,0.7316311070964371,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.05,gradient_detectable_rank,3,0.7952131140752311,0.8565313863424883,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.05,true_k_strong,2,0.726096952347791,0.837158892407524,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.1,gradient_effective_rank,3,0.7847030890744972,0.849714920608633,confirmatory_primary,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.1,gradient_detectable_rank,1,0.8571820453028349,0.9048737193290204,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.1,predicted_rank_detectable,1,0.7194808730395894,0.8728584560473706,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,gradient_effective_rank,5,0.8208396695861208,0.8675563897665685,secondary_target,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.05,true_k_strong,3,0.6710487320480866,0.7977948932333142,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.05,gradient_detectable_rank,2,0.669954756734643,0.7772387766293415,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.1,gradient_detectable_rank,2,0.7683474345577705,0.8472181564113264,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.1,true_k_strong,1,0.7338985761095128,0.8218546021306297,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.1,gradient_effective_rank,1,0.6650959875982454,0.8179708551709969,secondary_target,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.1,predicted_rank_detectable,1,0.6189575546113171,0.7603238825469092,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.15,gradient_effective_rank,4,0.7127664906895994,0.8130622642994131,secondary_target,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.15,gradient_detectable_rank,1,0.7520624795258972,0.8060539215815573,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,gradient_effective_rank,3,0.7634647250197263,0.8401648043344337,secondary_target,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,predicted_rank_detectable,2,0.6435781389442813,0.7750612978205815,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,gradient_effective_rank,2,0.7087933009164972,0.7996515868685177,secondary_target,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,gradient_stable_rank,1,0.8248140754885581,0.8885031159296275,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,predicted_rank_detectable,1,0.6959701241996814,0.8222082504975841,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,raw_gradient_effective_rank,1,0.6218557053689765,0.8101764398076933,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,recovery_rank_0.5,gradient_stable_rank,3,0.7593566295766894,0.882544317015546,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,recovery_rank_0.5,predicted_rank_raw_effective,1,0.826921939900054,0.9137864891534004,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,recovery_rank_0.5,raw_gradient_effective_rank,1,0.7825927218001725,0.8892078169176922,exploratory,stage4_confirmatory_v1
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,recovery_rank_0.7,gradient_effective_rank,3,0.8382117938765675,0.8856203506762652,secondary_target,stage4_confirmatory_v1
